Accuracy,Epsilon
0.5011135857461024,0.01
0.5478841870824054,0.01
0.48552338530066813,0.01
0.5256124721603563,0.01
0.48329621380846327,0.01
0.532293986636971,0.01
0.5011135857461024,0.01
0.512249443207127,0.01
0.5523385300668151,0.01
0.46993318485523383,0.01
0.46993318485523383,0.01
0.5055679287305123,0.01
0.48106904231625836,0.01
0.532293986636971,0.01
0.45657015590200445,0.01
0.48552338530066813,0.01
0.48997772828507796,0.01
0.5011135857461024,0.01
0.48552338530066813,0.01
0.4610244988864143,0.01
0.45657015590200445,0.01
0.5211581291759465,0.01
0.4610244988864143,0.01
0.5256124721603563,0.01
0.48775055679287305,0.01
0.48106904231625836,0.01
0.5278396436525612,0.01
0.5523385300668151,0.01
0.5100222717149221,0.01
0.47216035634743875,0.01
0.5189309576837416,0.01
0.4922048997772829,0.01
0.532293986636971,0.01
0.49888641425389757,0.01
0.48106904231625836,0.01
0.5389755011135857,0.01
0.5011135857461024,0.01
0.48775055679287305,0.01
0.49888641425389757,0.01
0.5144766146993318,0.01
0.512249443207127,0.01
0.5033407572383074,0.01
0.5011135857461024,0.01
0.46993318485523383,0.01
0.5189309576837416,0.01
0.5033407572383074,0.01
0.5077951002227171,0.01
0.5434298440979956,0.1
0.5367483296213809,0.1
0.5879732739420935,0.1
0.5367483296213809,0.1
0.5478841870824054,0.1
0.49443207126948774,0.1
0.5746102449888641,0.1
0.5545657015590201,0.1
0.5612472160356348,0.1
0.5389755011135857,0.1
0.5723830734966593,0.1
0.534521158129176,0.1
0.5434298440979956,0.1
0.5278396436525612,0.1
0.5412026726057907,0.1
0.5523385300668151,0.1
0.5968819599109132,0.1
0.5746102449888641,0.1
0.5300668151447662,0.1
0.5256124721603563,0.1
0.6057906458797327,0.1
0.5590200445434298,0.1
0.5167037861915368,0.1
0.5478841870824054,0.1
0.5456570155902004,0.1
0.5634743875278396,0.1
0.5590200445434298,0.1
0.5367483296213809,0.1
0.5567928730512249,0.1
0.5612472160356348,0.1
0.5902004454342984,0.1
0.579064587973274,0.1
0.5701559020044543,0.1
0.5278396436525612,0.1
0.5478841870824054,0.1
0.5055679287305123,0.1
0.5367483296213809,0.1
0.5456570155902004,0.1
0.5523385300668151,0.1
0.5857461024498887,0.1
0.5612472160356348,0.1
0.5567928730512249,0.1
0.5478841870824054,0.1
0.5590200445434298,0.1
0.5835189309576837,0.1
0.5456570155902004,0.1
0.5523385300668151,0.1
0.5456570155902004,0.1
0.5211581291759465,0.1
0.5077951002227171,0.1
0.512249443207127,0.1
0.5211581291759465,0.1
0.5456570155902004,0.1
0.5523385300668151,0.1
0.5256124721603563,0.1
0.5367483296213809,0.1
0.532293986636971,0.1
0.5501113585746102,0.1
0.5902004454342984,0.1
0.5634743875278396,0.1
0.5412026726057907,0.1
0.5634743875278396,0.1
0.5835189309576837,0.1
0.5523385300668151,0.1
0.5434298440979956,0.1
0.5367483296213809,0.1
0.5233853006681515,0.1
0.5167037861915368,0.1
0.5434298440979956,0.1
0.576837416481069,0.1
0.5612472160356348,0.1
0.5478841870824054,0.1
0.5501113585746102,0.1
0.534521158129176,0.1
0.5189309576837416,0.1
0.5902004454342984,0.1
0.5545657015590201,0.1
0.5412026726057907,0.1
0.5612472160356348,0.1
0.534521158129176,0.1
0.5233853006681515,0.1
0.5144766146993318,0.1
0.5167037861915368,0.1
0.5501113585746102,0.1
0.5879732739420935,0.1
0.5501113585746102,0.1
0.5434298440979956,0.1
0.576837416481069,0.1
0.5434298440979956,0.1
0.5100222717149221,0.1
0.5501113585746102,0.1
0.5567928730512249,0.1
0.5812917594654788,0.1
0.5278396436525612,0.1
0.5434298440979956,0.1
0.534521158129176,0.1
0.5812917594654788,0.1
0.5300668151447662,0.1
0.5211581291759465,0.1
0.579064587973274,0.1
0.5991091314031181,1.0
0.5902004454342984,1.0
0.5946547884187082,1.0
0.5835189309576837,1.0
0.5679287305122495,1.0
0.576837416481069,1.0
0.5545657015590201,1.0
0.5857461024498887,1.0
0.5902004454342984,1.0
0.579064587973274,1.0
0.5612472160356348,1.0
0.5701559020044543,1.0
0.5835189309576837,1.0
0.5590200445434298,1.0
0.576837416481069,1.0
0.5723830734966593,1.0
0.5723830734966593,1.0
0.576837416481069,1.0
0.5857461024498887,1.0
0.579064587973274,1.0
0.6013363028953229,1.0
0.579064587973274,1.0
0.5367483296213809,1.0
0.5924276169265034,1.0
0.5612472160356348,1.0
0.5879732739420935,1.0
0.5835189309576837,1.0
0.576837416481069,1.0
0.5657015590200446,1.0
0.6013363028953229,1.0
0.5857461024498887,1.0
0.5991091314031181,1.0
0.5679287305122495,1.0
0.5657015590200446,1.0
0.5634743875278396,1.0
0.5857461024498887,1.0
0.5924276169265034,1.0
0.579064587973274,1.0
0.5679287305122495,1.0
0.5968819599109132,1.0
0.5902004454342984,1.0
0.5679287305122495,1.0
0.5835189309576837,1.0
0.5812917594654788,1.0
0.5657015590200446,1.0
0.5812917594654788,1.0
0.5879732739420935,1.0
0.5746102449888641,1.0
0.5812917594654788,1.0
0.5879732739420935,1.0
0.579064587973274,1.0
0.5634743875278396,1.0
0.579064587973274,1.0
0.5701559020044543,1.0
0.5657015590200446,1.0
0.5679287305122495,1.0
0.5723830734966593,1.0
0.5812917594654788,1.0
0.5902004454342984,1.0
0.5924276169265034,1.0
0.6057906458797327,1.0
0.5657015590200446,1.0
0.5701559020044543,1.0
0.5723830734966593,1.0
0.5946547884187082,1.0
0.5902004454342984,1.0
0.5723830734966593,1.0
0.579064587973274,1.0
0.5835189309576837,1.0
0.5857461024498887,1.0
0.6013363028953229,1.0
0.5968819599109132,1.0
0.5746102449888641,1.0
0.5634743875278396,1.0
0.576837416481069,1.0
0.5634743875278396,1.0
0.6035634743875279,1.0
0.6035634743875279,1.0
0.5812917594654788,1.0
0.5991091314031181,1.0
0.5946547884187082,1.0
0.5723830734966593,1.0
0.5879732739420935,1.0
0.6102449888641426,1.0
0.5634743875278396,1.0
0.5701559020044543,1.0
0.5723830734966593,1.0
0.5746102449888641,1.0
0.6013363028953229,1.0
0.5701559020044543,1.0
0.6013363028953229,1.0
0.5701559020044543,1.0
0.5924276169265034,1.0
0.576837416481069,1.0
0.579064587973274,1.0
0.6124721603563474,1.0
0.5701559020044543,1.0
0.5879732739420935,1.0
0.5968819599109132,1.0
0.5679287305122495,1.0
0.5723830734966593,10.0
0.5746102449888641,10.0
0.5746102449888641,10.0
0.576837416481069,10.0
0.5812917594654788,10.0
0.579064587973274,10.0
0.5812917594654788,10.0
0.5857461024498887,10.0
0.5857461024498887,10.0
0.5723830734966593,10.0
0.5857461024498887,10.0
0.579064587973274,10.0
0.5835189309576837,10.0
0.579064587973274,10.0
0.576837416481069,10.0
0.5812917594654788,10.0
0.579064587973274,10.0
0.576837416481069,10.0
0.5879732739420935,10.0
0.5835189309576837,10.0
0.576837416481069,10.0
0.579064587973274,10.0
0.5835189309576837,10.0
0.579064587973274,10.0
0.576837416481069,10.0
0.5812917594654788,10.0
0.5812917594654788,10.0
0.5746102449888641,10.0
0.579064587973274,10.0
0.5835189309576837,10.0
0.5835189309576837,10.0
0.576837416481069,10.0
0.5812917594654788,10.0
0.579064587973274,10.0
0.5835189309576837,10.0
0.5857461024498887,10.0
0.576837416481069,10.0
0.576837416481069,10.0
0.579064587973274,10.0
0.5701559020044543,10.0
0.576837416481069,10.0
0.5857461024498887,10.0
0.5835189309576837,10.0
0.576837416481069,10.0
0.576837416481069,10.0
0.5723830734966593,10.0
0.576837416481069,10.0
0.576837416481069,10.0
0.5879732739420935,10.0
0.5812917594654788,10.0
0.579064587973274,10.0
0.5746102449888641,10.0
0.5835189309576837,10.0
0.576837416481069,10.0
0.5835189309576837,10.0
0.5812917594654788,10.0
0.579064587973274,10.0
0.5812917594654788,10.0
0.579064587973274,10.0
0.5812917594654788,10.0
0.576837416481069,10.0
0.576837416481069,10.0
0.579064587973274,10.0
0.5746102449888641,10.0
0.5746102449888641,10.0
0.579064587973274,10.0
0.579064587973274,10.0
0.5723830734966593,10.0
0.5812917594654788,10.0
0.5812917594654788,10.0
0.5812917594654788,10.0
0.576837416481069,10.0
0.5746102449888641,10.0
0.579064587973274,10.0
0.5723830734966593,10.0
0.576837416481069,10.0
0.579064587973274,10.0
0.5812917594654788,10.0
0.5835189309576837,10.0
0.579064587973274,10.0
0.579064587973274,10.0
0.576837416481069,10.0
0.579064587973274,10.0
0.579064587973274,10.0
0.5746102449888641,10.0
0.576837416481069,10.0
0.5746102449888641,10.0
0.579064587973274,10.0
0.5812917594654788,10.0
0.5812917594654788,10.0
0.579064587973274,10.0
0.5746102449888641,10.0
0.576837416481069,10.0
0.579064587973274,10.0
0.576837416481069,10.0
0.579064587973274,10.0
0.5857461024498887,10.0
0.576837416481069,10.0
0.576837416481069,10.0
0.5902004454342984,10.0
